temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,rain,surface_pressure,cloud_cover,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_gusts_10m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
25.137667,66.65954,17.298082,0.0125,0.0125,936.14996,37.083332,0.24143489,1.3067113,10.332019,15.580437,81.50848,25.725,0.117375,0.14870834
30.053833,57.952953,19.505917,0.008333334,0.008333334,1007.53156,57.458332,0.2657206,2.0701566,8.452892,14.795271,119.51767,20.97,0.287625,0.29587498
30.565918,50.322178,17.770084,0.0,0.0,1002.3365,29.208334,0.2944834,2.4626155,9.649007,15.308001,138.63857,21.96,0.29325,0.223
27.30425,68.59287,20.145918,0.008333334,0.008333334,997.42413,42.458332,0.23867211,1.4042091,5.496067,9.832444,140.95518,23.64,0.29858333,0.28729168
24.819666,81.73706,21.261332,0.16666667,0.16666667,971.0629,68.041664,0.20212515,0.63746345,6.9659367,10.795038,208.09892,17.925,0.35495833,0.29154167
25.575584,88.36929,23.506834,0.0125,0.0125,1010.9353,25.916666,0.1864219,0.37998372,8.475295,10.854595,123.72725,13.17,0.0,0.0
26.82375,75.24519,21.650833,0.0875,0.0875,999.6533,41.0,0.20427768,0.9983185,7.5822787,10.473644,263.49963,17.88,0.105333336,0.065916665
25.902668,87.93338,23.744333,0.0,0.0,1011.54395,19.125,0.18979885,0.40379268,8.90894,11.8277,96.540054,12.375,0.0,0.0
26.770166,86.26082,24.078499,0.09583333,0.09583333,1008.2176,95.583336,0.17373757,0.55338544,6.588924,10.210388,133.05136,13.889999,0.39720833,0.36604166
30.560083,57.307304,19.910084,0.0,0.0,1009.70154,27.041666,0.28091037,2.1288717,8.877108,11.950651,165.9604,20.13,0.15175,0.13970834
24.881832,87.374435,22.51725,0.09583333,0.09583333,982.4031,68.333336,0.1756793,0.4387852,11.061887,18.297234,123.77062,23.789999,0.35366666,0.300125
30.397583,61.650475,21.022583,0.041666668,0.041666668,1010.1426,8.375,0.2691938,1.9247501,8.2125845,12.065239,145.87071,19.335,0.17925,0.14058334
26.667416,68.485344,19.515333,0.029166667,0.029166667,964.9499,22.25,0.2456035,1.2825569,11.368298,16.357067,198.56464,24.66,0.158375,0.14750001
30.092083,59.72299,19.465,0.0,0.0,1006.24243,3.7083333,0.3192029,2.0817962,17.666582,27.124502,147.81494,35.22,0.16554166,0.14125
30.015583,57.129807,18.217667,0.0,0.0,1006.00055,1.9583334,0.30724776,2.2278926,12.205856,19.988073,171.60048,28.005,0.141,0.149625
25.511,89.28195,23.613083,0.020833334,0.020833334,1011.8928,27.583334,0.18316282,0.35001233,8.569468,11.948072,120.8589,12.09,0.0,0.0
27.36425,75.244316,21.972584,0.041666668,0.041666668,992.34753,32.083332,0.23560263,1.0585318,11.090124,16.47208,173.83861,24.419998,0.28975,0.26733333
30.074501,59.712597,20.245333,0.058333334,0.058333334,999.2633,72.75,0.25662348,2.000086,8.635141,13.46488,137.85728,19.365,0.180375,0.13049999
27.149,78.35346,22.744835,0.008333334,0.008333334,1007.1379,66.458336,0.20537816,0.8827207,7.0823684,12.431204,221.51065,17.789999,0.37937498,0.39779168
26.794832,84.553535,23.848999,0.112500004,0.112500004,1011.3183,83.458336,0.13728341,0.5968226,5.134919,9.085883,177.72295,13.994999,0.31270832,0.326125
28.356667,63.39202,19.885834,0.0,0.0,1007.25476,67.625,0.29157352,1.6146933,19.44394,29.255684,171.22145,38.355,0.12916666,0.146625
28.612083,68.696884,21.59125,0.0,0.0,1005.31866,81.875,0.21638618,1.3949251,7.165459,12.255551,195.46512,16.875,0.25395834,0.27704167
26.16625,77.87689,21.685,0.0,0.0,1005.26843,78.25,0.20131606,0.8420554,9.514266,16.606691,92.112114,22.41,0.177,0.21395834
29.65475,58.512833,19.606834,0.0,0.0,1010.18866,59.458332,0.25789422,1.9645436,9.382002,16.541319,156.74205,22.755,0.35654166,0.36420834
26.064167,87.04543,23.52875,0.05,0.05,1004.1376,69.458336,0.14962386,0.51242626,4.925132,9.226831,207.54985,14.339999,0.35379165,0.34175
29.116833,63.513298,20.65225,0.0,0.0,1010.3924,61.75,0.2415966,1.677867,9.359275,16.642706,149.62392,21.27,0.16304167,0.21654166
