Provinsi,Kab/Kota,Tanggal,Latitude,Longitude,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,rain,surface_pressure,cloud_cover,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_gusts_10m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,Kebakaran
Aceh,Aceh Besar,2024-07-07,-3.9839496,103.3249505,22.661167,87.03199,20.359083,0.26666668,0.26666668,938.1321,83.5,0.12595017,0.3698359,3.5465443,4.6959314,195.57713,10.05,0.41808334,0.42025,Yes
Nusa Tenggara Timur,Lembata,2024-07-10,-8.37814435,123.5446266,27.184332,64.7527,19.415583,0,0,1006.8764,73.75,0.22335981,1.3706138,13.95397,20.863535,151.74701,38.114998,0.12,0.15,Yes
Sumatera Utara,Karo,2024-07-10,3.09987505,98.33697064,20.832167,93.04173,19.630083,0.1875,0.1875,924.97437,98.208336,0.085448235,0.18041185,3.7210925,5.344286,151.0007,11.625,0.365125,0.32154167,Yes
Kalimantan Tengah,Sukamara,2024-07-13,-6.3809,105.9406,25.039001,77.771835,20.686918,0,0,997.9232,30.291666,0.1684784,0.7712147,5.869668,10.483686,125.84567,14.565,0.44125,0.457875,Yes
Sumatera Utara,Samosir,2024-07-13,3.025326,98.289185,22.576834,83.94886,19.46225,0,0,934.4774,90.208336,0.1689262,0.5237502,5.711785,7.569502,166.66129,16.71,0.34233335,0.35366666,Yes
Bengkulu,Muko Muko,2024-07-26,-3.7922858,102.2623797,25.941,80.68496,22.205584,0,0,1007.8288,38.5,0.18257695,0.71276057,8.577034,14.648544,137.64734,18.57,0.289125,0.31116667,Yes
Sumatera Utara,Kota Padang Sidempuan,2024-07-26,1.372696,99.2727172,25.466917,82.528175,21.977333,0.020833334,0.020833334,976.0255,95.291664,0.193719,0.6541221,5.8783765,10.365336,283.0944,18.285,0.34879166,0.34166667,Yes
Aceh,Aceh Jaya,2024-07-26,4.8114844,95.70019149,26.365,75.26105,21.3025,0,0,972.27155,98.375,0.17919587,0.9390583,6.5839252,10.730697,111.06536,18.93,0.19475,0.19283333,Yes
Sumatera Utara,Karo,2024-07-26,3.09987505,98.33697064,22.678,83.14194,19.313417,0.004166667,0.004166667,922.4112,100,0.18263777,0.55456287,6.4137278,9.945336,176.36055,18.39,0.23449999,0.23891667,Yes
Nusa Tenggara Barat,Bima,2024-07-27,-8.615237,118.738413,26.168917,80.51408,22.1835,0.008333334,0.008333334,1003.9566,48.5,0.17446741,0.76295906,8.723226,14.175605,176.03604,23.91,0.16749999,0.16958334,Yes
Riau,Kampar,2024-07-27,4.34273,101.155242,29.391335,67.41403,22.533,0,0,1005.00586,98.666664,0.22654289,1.4129486,10.231717,17.994976,146.87912,22.32,0.28725,0.32016668,Yes
Sumatera Utara,Labuhanbatu Utara,2024-07-27,3.025326,98.289185,23.495583,80.950554,19.601833,0.029166667,0.029166667,935.69855,97.125,0.18611726,0.67290366,5.5719705,7.780241,159.5693,16.095,0.23554167,0.25566667,Yes
Sumatera Utara,Toba,2024-07-27,2.38545945,99.33146479,20.410166,77.7425,16.043499,0.045833334,0.045833334,871.00366,98.5,0.1882216,0.6335355,6.750325,12.35315,235.36464,19.305,0.31379166,0.36558333,Yes
